time_step,temperature
2.970000000000000000e+02,8.247327192855477551e-02
2.980000000000000000e+02,8.241888441660531750e-02
2.990000000000000000e+02,8.233238854172431065e-02
3.000000000000000000e+02,8.221854525347838116e-02
3.010000000000000000e+02,8.214933719596188844e-02
3.020000000000000000e+02,8.205558370390601819e-02
3.030000000000000000e+02,8.195943182391224324e-02
3.040000000000000000e+02,8.183287888925475095e-02
3.050000000000000000e+02,8.170934279146642443e-02
3.060000000000000000e+02,8.161808417568232332e-02
3.070000000000000000e+02,8.147262992344755927e-02
3.080000000000000000e+02,8.129723342909712935e-02
3.090000000000000000e+02,8.110994458633526139e-02
3.100000000000000000e+02,8.095579248557419061e-02
3.110000000000000000e+02,8.080237902043527209e-02
3.120000000000000000e+02,8.065863153969213273e-02
3.130000000000000000e+02,8.051916905278184988e-02
3.140000000000000000e+02,8.035575273349225556e-02
3.150000000000000000e+02,8.021488502120419084e-02
3.160000000000000000e+02,8.006077126428101653e-02
3.170000000000000000e+02,7.989310969369818605e-02
3.180000000000000000e+02,7.973045025602355784e-02
3.190000000000000000e+02,7.958447169867492732e-02
3.200000000000000000e+02,7.942656756439021859e-02
3.210000000000000000e+02,7.926551764386598198e-02
3.220000000000000000e+02,7.909995973468071651e-02
3.230000000000000000e+02,7.894560693059758660e-02
3.240000000000000000e+02,7.875587394235689098e-02
3.250000000000000000e+02,7.855789341113324220e-02
3.260000000000000000e+02,7.835972736929772142e-02
3.270000000000000000e+02,7.820770610424333802e-02
3.280000000000000000e+02,7.808325624670998943e-02
3.290000000000000000e+02,7.798878912710029143e-02
3.300000000000000000e+02,7.787519953396322692e-02
3.310000000000000000e+02,7.778970752768352148e-02
3.320000000000000000e+02,7.769616870893868155e-02
3.330000000000000000e+02,7.761903159190502999e-02
3.340000000000000000e+02,7.753405777938031374e-02
3.350000000000000000e+02,7.742861796191018164e-02
3.360000000000000000e+02,7.732887615492280153e-02
3.370000000000000000e+02,7.720679693771376195e-02
3.380000000000000000e+02,7.707966896834066162e-02
3.390000000000000000e+02,7.697091552192247832e-02
3.400000000000000000e+02,7.688515687535700527e-02
3.410000000000000000e+02,7.678380986082426751e-02
3.420000000000000000e+02,7.663245670884102911e-02
3.430000000000000000e+02,7.651704007810547492e-02
3.440000000000000000e+02,7.638676163244771666e-02
3.450000000000000000e+02,7.625907284503168071e-02
3.460000000000000000e+02,7.614293964555853000e-02
3.470000000000000000e+02,7.602276164091911759e-02
3.480000000000000000e+02,7.596209996803322817e-02
3.490000000000000000e+02,7.592273409461582079e-02
3.500000000000000000e+02,7.587837060808848288e-02
3.510000000000000000e+02,7.582060916471347611e-02
3.520000000000000000e+02,7.576797359504332252e-02
3.530000000000000000e+02,7.571646303991727556e-02
3.540000000000000000e+02,7.569144575279154741e-02
3.550000000000000000e+02,7.564563794932722962e-02
3.560000000000000000e+02,7.557761343614656513e-02
3.570000000000000000e+02,7.551846222232973249e-02
3.580000000000000000e+02,7.546252388304183767e-02
3.590000000000000000e+02,7.540200493551350858e-02
