r_distance,g_r_AA,g_r_BB,g_r_AB,g_r_WW
6.550000000000000711e+00,1.009801726409323752e+00,1.117090940684488665e+00,1.054474604888029798e+00,1.003664914684191389e+00
6.650000000000000355e+00,1.005213051943873559e+00,1.104701521085256655e+00,1.044349334906621074e+00,1.003365497962769082e+00
6.750000000000000000e+00,1.001944557206857267e+00,1.090972697930073565e+00,1.033927657918657594e+00,1.003594002094182924e+00
6.850000000000000533e+00,9.997156149335382214e-01,1.077339281357130307e+00,1.024677475408228622e+00,1.004362966657717404e+00
6.950000000000000178e+00,9.984269418438251886e-01,1.064447346218953649e+00,1.017452078649491609e+00,1.005539395231003441e+00
7.050000000000000711e+00,9.980425515880876342e-01,1.052444220150743792e+00,1.012271671806007634e+00,1.007540979777442836e+00
7.150000000000000355e+00,9.984773918232923151e-01,1.041456255702105205e+00,1.008619659801889501e+00,1.008953649713336231e+00
7.250000000000000000e+00,9.995083730632527974e-01,1.031572466704810287e+00,1.005949398393406469e+00,1.010959524739804882e+00
7.350000000000000533e+00,1.000869199438183754e+00,1.022673753419600651e+00,1.004001404351557269e+00,1.011950819452151817e+00
7.450000000000000178e+00,1.002484634403820074e+00,1.014741252620028567e+00,1.002811468751071189e+00,1.013659319136532178e+00
7.550000000000000711e+00,1.004527095046360508e+00,1.008259190570831576e+00,1.002516313846657514e+00,1.014522613066522361e+00
7.650000000000000355e+00,1.007134531690731860e+00,1.003904890110741910e+00,1.003170924988521451e+00,1.015409216575640983e+00
7.750000000000000000e+00,1.010088955619724338e+00,1.001837877749806260e+00,1.004698420890598243e+00,1.015306242835991579e+00
7.850000000000000533e+00,1.012878248779320867e+00,1.001588898708715591e+00,1.006884539180750604e+00,1.014760447111794806e+00
7.950000000000000178e+00,1.015152842966942970e+00,1.002592234406642691e+00,1.009358372926235647e+00,1.014231545051522465e+00
8.050000000000000711e+00,1.017020936057424940e+00,1.004449327093925426e+00,1.011715560762358024e+00,1.013566952746957961e+00
8.150000000000000355e+00,1.018726139133491859e+00,1.006632972576139817e+00,1.013787919822860761e+00,1.012673011134415324e+00
8.250000000000000000e+00,1.020036702888601710e+00,1.008398076476232808e+00,1.015693666550536722e+00,1.012072491019036402e+00
8.350000000000001421e+00,1.020226215278315474e+00,1.009188450629996181e+00,1.017514337357377618e+00,1.010987631680152710e+00
8.449999999999999289e+00,1.018860898567804485e+00,1.008853123311086231e+00,1.019052163180347748e+00,1.010265050298073897e+00
8.550000000000000711e+00,1.016423282676039985e+00,1.007473656856901822e+00,1.020080316350512328e+00,1.009194956573872926e+00
8.650000000000000355e+00,1.013955013840677433e+00,1.005386791419518255e+00,1.020740929311066969e+00,1.008432122391227148e+00
8.750000000000000000e+00,1.012180316806245983e+00,1.003300577546023753e+00,1.021440401156420874e+00,1.007928707564955007e+00
8.850000000000001421e+00,1.011085016383405311e+00,1.001915791207241835e+00,1.022295243023709554e+00,1.007269910291137993e+00
8.949999999999999289e+00,1.010179659549165887e+00,1.001357697448446826e+00,1.022855786061649619e+00,1.006662460093902700e+00
9.050000000000000711e+00,1.008959464660646344e+00,1.001145500285353096e+00,1.022466443999165087e+00,1.006702532383410009e+00
9.150000000000000355e+00,1.007201160233806014e+00,1.000624785527831184e+00,1.020804749850831694e+00,1.006324965040522379e+00
9.250000000000000000e+00,1.005103262725793201e+00,9.993442129629315218e-01,1.018058668174611547e+00,1.006153160532938573e+00
9.350000000000001421e+00,1.003189190249679230e+00,9.972402344703590327e-01,1.014752181518784324e+00,1.006210715849655379e+00
9.449999999999999289e+00,1.001867692195801407e+00,9.946670204092566969e-01,1.011498006002482741e+00,1.005971316398054594e+00
9.550000000000000711e+00,1.001096408466596532e+00,9.922153552967273304e-01,1.008819680219964932e+00,1.006507523848153562e+00
9.650000000000002132e+00,1.000611556054281426e+00,9.903927391482653109e-01,1.007055969463829470e+00,1.006272799791254391e+00
9.750000000000000000e+00,1.000314342991913907e+00,9.893848651743109013e-01,1.006287242421496142e+00,1.006373905539842850e+00
9.850000000000001421e+00,1.000226475688265504e+00,9.890334729248785317e-01,1.006260052621501977e+00,1.006420276846387241e+00
9.949999999999999289e+00,1.000258419919125785e+00,9.889953492345705532e-01,1.006463108609770396e+00,1.006337004904350740e+00
