time_lag,vacf_aa_norm,vacf_ibi_norm,vacf_gle_norm
1.760000000000000000e+03,2.835796682976535546e-02,9.122660280583284598e-01,5.035296247147163368e-02
1.770000000000000000e+03,2.822896860929690818e-02,9.118019078954945345e-01,4.988797591339974580e-02
1.780000000000000000e+03,2.811950528765128077e-02,9.113298694454846638e-01,4.943186215677923545e-02
1.790000000000000000e+03,2.802788097412087925e-02,9.108499613141873841e-01,4.898388998521201881e-02
1.800000000000000000e+03,2.795112089866800056e-02,9.103625499413710020e-01,4.853826335297160843e-02
1.810000000000000000e+03,2.788525339777776085e-02,9.098683430533709426e-01,4.809498581758295255e-02
1.820000000000000000e+03,2.782578561981722404e-02,9.093682711281579900e-01,4.764477968174372913e-02
1.830000000000000000e+03,2.776820941520853278e-02,9.088635146760399852e-01,4.717303340980422144e-02
1.840000000000000000e+03,2.770852500304069738e-02,9.083554342556475758e-01,4.666862640682918617e-02
1.850000000000000000e+03,2.764367994426650613e-02,9.078454502962555184e-01,4.612614124025323642e-02
1.860000000000000000e+03,2.757174708682035014e-02,9.073350135334796729e-01,4.555791075558403985e-02
1.870000000000000000e+03,2.749177448369275259e-02,9.068255512099001603e-01,4.496994968860244801e-02
1.880000000000000000e+03,2.740340538411207422e-02,9.063184412766301934e-01,4.436243311260766597e-02
1.890000000000000000e+03,2.730645558650696830e-02,9.058150031857107320e-01,4.374248403738615482e-02
1.900000000000000000e+03,2.720060376182992581e-02,9.053164178671408990e-01,4.312195106036907644e-02
1.910000000000000000e+03,2.708530328320090871e-02,9.048237189550946136e-01,4.251214130215602571e-02
1.920000000000000000e+03,2.695990776615381224e-02,9.043378449620872450e-01,4.191494110201166023e-02
1.930000000000000000e+03,2.682385221275492351e-02,9.038596023444723793e-01,4.132978715363789385e-02
1.940000000000000000e+03,2.667681010505080705e-02,9.033896087812410824e-01,4.076017405039660674e-02
1.950000000000000000e+03,2.651868359663939884e-02,9.029282619386693742e-01,4.020789509787068422e-02
1.960000000000000000e+03,2.634944576738852337e-02,9.024757030119596735e-01,3.967888839278152502e-02
1.970000000000000000e+03,2.616923570543271821e-02,9.020318484764822120e-01,3.918680480326344057e-02
1.980000000000000000e+03,2.597874687044590333e-02,9.015964231227615588e-01,3.874159583799750839e-02
1.990000000000000000e+03,2.577954365944214177e-02,9.011689764347503573e-01,3.834503075931842281e-02
2.000000000000000000e+03,2.557397111880003668e-02,9.007488077099502499e-01,3.799355791669203897e-02
2.010000000000000000e+03,2.536467584456906024e-02,9.003350452730527476e-01,3.767248500130705030e-02
2.020000000000000000e+03,2.515398098433082458e-02,8.999267149106100483e-01,3.736944995878167808e-02
2.030000000000000000e+03,2.494323872072162079e-02,8.995227497462534583e-01,3.708015344262738378e-02
2.040000000000000000e+03,2.473219664164316017e-02,8.991219771563285779e-01,3.680833956981400396e-02
2.050000000000000000e+03,2.451859567739625781e-02,8.987231652215668110e-01,3.655371582544834214e-02
2.060000000000000000e+03,2.429833853647364941e-02,8.983250636470733186e-01,3.631365434201657555e-02
2.070000000000000000e+03,2.406624659065928484e-02,8.979264130308421965e-01,3.607851319199886081e-02
2.080000000000000000e+03,2.381704257586315238e-02,8.975260615304608836e-01,3.583987247035127360e-02
2.090000000000000000e+03,2.354624257312206911e-02,8.971228843098535410e-01,3.558832265453686083e-02
2.100000000000000000e+03,2.325081970611520693e-02,8.967158563400767779e-01,3.531986137496087585e-02
2.110000000000000000e+03,2.292959607933636387e-02,8.963040459453639475e-01,3.504297619831606148e-02
2.120000000000000000e+03,2.258338906614552888e-02,8.958866689390718729e-01,3.476373826227095731e-02
2.130000000000000000e+03,2.221497311623107929e-02,8.954630838926724845e-01,3.448112440354470648e-02
2.140000000000000000e+03,2.182888520144499536e-02,8.950328069331762171e-01,3.418382577061639116e-02
2.150000000000000000e+03,2.143098008316125097e-02,8.945954967269119651e-01,3.385683944013254815e-02
2.160000000000000000e+03,2.102764562845381088e-02,8.941509773907939662e-01,3.349337778687478534e-02
2.170000000000000000e+03,2.062484019306679364e-02,8.936992275856749934e-01,3.309609390649004973e-02
2.180000000000000000e+03,2.022727337577617454e-02,8.932403993945816634e-01,3.267011364895429371e-02
2.190000000000000000e+03,1.983791717407237115e-02,8.927747121946246756e-01,3.221599194398831051e-02
2.200000000000000000e+03,1.945785561534840377e-02,8.923025306455938388e-01,3.173541514916005529e-02
2.210000000000000000e+03,1.908651891782438270e-02,8.918242928489225063e-01,3.123416473235065757e-02
2.220000000000000000e+03,1.872236477991563730e-02,8.913404969341437445e-01,3.072055393689707148e-02
2.230000000000000000e+03,1.836377849023639389e-02,8.908517250894218975e-01,3.020682328839820879e-02
2.240000000000000000e+03,1.800979463292377500e-02,8.903585703276375440e-01,2.970715931530227075e-02
2.250000000000000000e+03,1.766043526541105288e-02,8.898616586020394736e-01,2.922542852241778732e-02
2.260000000000000000e+03,1.731673225159277574e-02,8.893616176737345613e-01,2.876686219216002469e-02
2.270000000000000000e+03,1.698057924794646109e-02,8.888591071347567985e-01,2.834160350772417861e-02
2.280000000000000000e+03,1.665449747979136363e-02,8.883548463465575917e-01,2.795146611608749845e-02
2.290000000000000000e+03,1.634136963913454879e-02,8.878495538690773792e-01,2.758587646691595952e-02
2.300000000000000000e+03,1.604412348422065357e-02,8.873440061016623082e-01,2.723019320086614639e-02
2.310000000000000000e+03,1.576539959985475900e-02,8.868390292535890396e-01,2.686573117651955278e-02
2.320000000000000000e+03,1.550737495511398528e-02,8.863354298419930943e-01,2.648051817832007548e-02
2.330000000000000000e+03,1.527178576632145200e-02,8.858340444211862952e-01,2.606872858862028727e-02
2.340000000000000000e+03,1.505999637695492124e-02,8.853357395729355428e-01,2.563756906728854174e-02
2.350000000000000000e+03,1.487303215064221702e-02,8.848413507931731647e-01,2.519626398741528842e-02
2.360000000000000000e+03,1.471153463246752287e-02,8.843516723049776873e-01,2.475292977046901835e-02
2.370000000000000000e+03,1.457558089086440599e-02,8.838674247196780520e-01,2.431634665410392637e-02
2.380000000000000000e+03,1.446445034167337905e-02,8.833892553318477558e-01,2.389451472674065241e-02
2.390000000000000000e+03,1.437648948305532762e-02,8.829176871869384158e-01,2.349179419000805083e-02
2.400000000000000000e+03,1.430915085341015122e-02,8.824531260705594793e-01,2.311477715398704141e-02
2.410000000000000000e+03,1.425919397642764520e-02,8.819958861445534870e-01,2.276530469997841213e-02
2.420000000000000000e+03,1.422287994641831775e-02,8.815460818394710296e-01,2.244118467198665326e-02
2.430000000000000000e+03,1.419599515126691858e-02,8.811036681333924703e-01,2.214574753711616786e-02
2.440000000000000000e+03,1.417387519992275441e-02,8.806683891581648105e-01,2.188136413337630690e-02
2.450000000000000000e+03,1.415172034809803088e-02,8.802397486673579907e-01,2.165319690289405075e-02
2.460000000000000000e+03,1.412512460393303831e-02,8.798170093710749873e-01,2.146384125306175297e-02
2.470000000000000000e+03,1.409050748843647047e-02,8.793990678525770432e-01,2.131116629245503186e-02
2.480000000000000000e+03,1.404530692503714977e-02,8.789845369444574397e-01,2.118956465755269386e-02
2.490000000000000000e+03,1.398802286392926940e-02,8.785718233701930169e-01,2.109120461580695285e-02
2.500000000000000000e+03,1.391823395508215259e-02,8.781591924653741055e-01,2.101297369197565809e-02
2.510000000000000000e+03,1.383657591582304787e-02,8.777448940592018634e-01,2.095702004631007365e-02
2.520000000000000000e+03,1.374451155242755254e-02,8.773272478035901711e-01,2.091848521319614532e-02
2.530000000000000000e+03,1.364390707648941922e-02,8.769047385982028375e-01,2.089205979204789010e-02
2.540000000000000000e+03,1.353684746532109184e-02,8.764761000660481471e-01,2.086887100542651058e-02
2.550000000000000000e+03,1.342584123166604484e-02,8.760403261845191025e-01,2.085282953146370272e-02
2.560000000000000000e+03,1.331404378112134579e-02,8.755967172333848358e-01,2.084787733428839981e-02
2.570000000000000000e+03,1.320504564522167676e-02,8.751448460986556155e-01,2.085188037883123693e-02
2.580000000000000000e+03,1.310209143735095901e-02,8.746845244638584704e-01,2.086985473213632397e-02
2.590000000000000000e+03,1.300716672351319089e-02,8.742158275448190796e-01,2.090256856712579409e-02
2.600000000000000000e+03,1.292051684341714683e-02,8.737390573056681431e-01,2.094387433846425089e-02
2.610000000000000000e+03,1.284064005074944843e-02,8.732547437891489128e-01,2.098948092940830859e-02
2.620000000000000000e+03,1.276452654868403223e-02,8.727635748377792213e-01,2.103657538582977618e-02
2.630000000000000000e+03,1.268791471024309676e-02,8.722664077587460874e-01,2.107843979687422722e-02
2.640000000000000000e+03,1.260553778723978204e-02,8.717643330625435283e-01,2.110691574234753454e-02
2.650000000000000000e+03,1.251164601293192243e-02,8.712585532373683384e-01,2.111253968750884807e-02
2.660000000000000000e+03,1.240079957587314485e-02,8.707503399857223769e-01,2.109606624887084073e-02
2.670000000000000000e+03,1.226847009607712896e-02,8.702409240884311226e-01,2.105202631522979512e-02
2.680000000000000000e+03,1.211118010945908159e-02,8.697313864114248894e-01,2.097688925161362433e-02
2.690000000000000000e+03,1.192632110827950009e-02,8.692225402231519293e-01,2.087207161296318614e-02
2.700000000000000000e+03,1.171193256804809249e-02,8.687149353908876215e-01,2.074479728148131280e-02
2.710000000000000000e+03,1.146662125870045144e-02,8.682088975103270378e-01,2.060193171003980167e-02
2.720000000000000000e+03,1.118961742803188143e-02,8.677046259461234090e-01,2.044225572878399788e-02
2.730000000000000000e+03,1.088083886421917224e-02,8.672023771537771264e-01,2.026631368004118416e-02
2.740000000000000000e+03,1.054087509608854674e-02,8.667024574155894889e-01,2.007884584855926594e-02
2.750000000000000000e+03,1.017097016948017955e-02,8.662052912537913096e-01,1.988830552058339779e-02
2.760000000000000000e+03,9.773126458585017218e-03,8.657112861268568826e-01,1.970477928105728374e-02
2.770000000000000000e+03,9.350298623426055514e-03,8.652208709786698426e-01,1.953616372670717929e-02
2.780000000000000000e+03,8.906496752374312015e-03,8.647344136337131726e-01,1.938687893129846171e-02
2.790000000000000000e+03,8.446636393794544270e-03,8.642522729542861937e-01,1.926456363044327935e-02
2.800000000000000000e+03,7.976161545178724055e-03,8.637747563266562345e-01,1.916879767598386741e-02
2.810000000000000000e+03,7.500664386630284848e-03,8.633020519732723663e-01,1.909334209685360773e-02
2.820000000000000000e+03,7.025731907411434524e-03,8.628342725261828328e-01,1.902732400754669415e-02
2.830000000000000000e+03,6.557103493323295298e-03,8.623714519895452346e-01,1.895690259999893018e-02
2.840000000000000000e+03,6.100882548758550933e-03,8.619135509760068592e-01,1.886955129227621542e-02
2.850000000000000000e+03,5.663350329826861290e-03,8.614604568246226890e-01,1.876072961856353749e-02
2.860000000000000000e+03,5.250479150650364316e-03,8.610119891886783838e-01,1.863317271844298559e-02
2.870000000000000000e+03,4.867557835563517468e-03,8.605678729102359537e-01,1.848317917603638921e-02
