epoch,loss,training_field
2.760000000000000000e+02,6.091369023652795568e-16,5.000000000000000000e-01
2.770000000000000000e+02,1.289062799519371394e-17,5.000000000000000000e-01
2.780000000000000000e+02,8.640186161696373972e-16,5.000000000000000000e-01
2.790000000000000000e+02,8.494149901508687805e-16,5.000000000000000000e-01
2.800000000000000000e+02,3.038467718867196001e-17,5.000000000000000000e-01
2.810000000000000000e+02,2.812936794501482797e-16,5.000000000000000000e-01
2.820000000000000000e+02,6.923274827169129948e-16,5.000000000000000000e-01
2.830000000000000000e+02,1.960210814973485998e-16,5.000000000000000000e-01
2.840000000000000000e+02,2.707769439718747393e-17,5.000000000000000000e-01
2.850000000000000000e+02,4.462203808717269092e-16,5.000000000000000000e-01
2.860000000000000000e+02,3.453417481941594726e-16,5.000000000000000000e-01
2.870000000000000000e+02,1.952424790216377355e-18,5.000000000000000000e-01
2.880000000000000000e+02,1.480630743679854710e-16,5.000000000000000000e-01
2.890000000000000000e+02,3.014969973771605190e-16,5.000000000000000000e-01
2.900000000000000000e+02,6.479843359322246044e-17,5.000000000000000000e-01
2.910000000000000000e+02,1.442716518048197341e-17,5.000000000000000000e-01
2.920000000000000000e+02,2.005862227442352423e-16,5.000000000000000000e-01
2.930000000000000000e+02,1.445275018138608490e-16,5.000000000000000000e-01
2.940000000000000000e+02,1.033094258070949581e-19,5.000000000000000000e-01
2.950000000000000000e+02,5.529712146423480852e-17,5.000000000000000000e-01
2.960000000000000000e+02,1.236506365401274426e-16,5.000000000000000000e-01
2.970000000000000000e+02,2.864206986594683753e-17,5.000000000000000000e-01
2.980000000000000000e+02,1.386611848832142731e-18,5.000000000000000000e-01
2.990000000000000000e+02,7.839189027275688697e-17,5.000000000000000000e-01
0.000000000000000000e+00,6.356628547523998640e-02,1.000000000000000000e+00
1.000000000000000000e+00,6.313382485548499345e-02,1.000000000000000000e+00
2.000000000000000000e+00,5.906013604590076155e-02,1.000000000000000000e+00
3.000000000000000000e+00,4.867179359464408883e-02,1.000000000000000000e+00
4.000000000000000000e+00,2.689697794018847468e-02,1.000000000000000000e+00
5.000000000000000000e+00,3.570669906233021190e-03,1.000000000000000000e+00
6.000000000000000000e+00,5.722047714299566615e-03,1.000000000000000000e+00
7.000000000000000000e+00,1.785059311916200112e-02,1.000000000000000000e+00
8.000000000000000000e+00,1.656881984624436824e-02,1.000000000000000000e+00
9.000000000000000000e+00,7.796568018499693345e-03,1.000000000000000000e+00
1.000000000000000000e+01,6.680443331183510622e-04,1.000000000000000000e+00
1.100000000000000000e+01,1.617625806650662204e-03,1.000000000000000000e+00
1.200000000000000000e+01,6.408271759638291612e-03,1.000000000000000000e+00
1.300000000000000000e+01,7.130095105635480754e-03,1.000000000000000000e+00
1.400000000000000000e+01,4.181363584927343981e-03,1.000000000000000000e+00
1.500000000000000000e+01,9.599499274498022672e-04,1.000000000000000000e+00
1.600000000000000000e+01,4.233714500609046642e-05,1.000000000000000000e+00
1.700000000000000000e+01,1.430284923931966290e-03,1.000000000000000000e+00
1.800000000000000000e+01,3.137338333565134214e-03,1.000000000000000000e+00
1.900000000000000000e+01,3.507253103484640235e-03,1.000000000000000000e+00
2.000000000000000000e+01,2.411980393550226462e-03,1.000000000000000000e+00
2.100000000000000000e+01,8.482093551715294989e-04,1.000000000000000000e+00
2.200000000000000000e+01,1.875692404589994182e-05,1.000000000000000000e+00
2.300000000000000000e+01,3.679009661403089752e-04,1.000000000000000000e+00
2.400000000000000000e+01,1.293822429514123080e-03,1.000000000000000000e+00
2.500000000000000000e+01,1.846521408769650130e-03,1.000000000000000000e+00
2.600000000000000000e+01,1.580657602074818022e-03,1.000000000000000000e+00
2.700000000000000000e+01,7.811337133029886597e-04,1.000000000000000000e+00
2.800000000000000000e+01,1.152263367215463545e-04,1.000000000000000000e+00
2.900000000000000000e+01,5.704191548758879134e-05,1.000000000000000000e+00
3.000000000000000000e+01,5.025172139421508468e-04,1.000000000000000000e+00
3.100000000000000000e+01,9.309331929072509363e-04,1.000000000000000000e+00
3.200000000000000000e+01,9.292106172699354447e-04,1.000000000000000000e+00
3.300000000000000000e+01,5.315031118652071033e-04,1.000000000000000000e+00
3.400000000000000000e+01,1.132147604096299067e-04,1.000000000000000000e+00
3.500000000000000000e+01,1.080107780598541153e-05,1.000000000000000000e+00
