r,gle_g_AA,gle_g_BB,gle_g_AB,time_ps,gle_vacf
nan,nan,nan,nan,3.047769414242e+01,1.611423381481e-01
nan,nan,nan,nan,3.057996828384e+01,1.601910483994e-01
nan,nan,nan,nan,3.068224242526e+01,1.592464405180e-01
nan,nan,nan,nan,3.078451656667e+01,1.583084469558e-01
nan,nan,nan,nan,3.088679070809e+01,1.573769952765e-01
nan,nan,nan,nan,3.098906484951e+01,1.564519905703e-01
nan,nan,nan,nan,3.109133899093e+01,1.555333231308e-01
nan,nan,nan,nan,3.119361313234e+01,1.546209270416e-01
nan,nan,nan,nan,3.129588727376e+01,1.537147369250e-01
nan,nan,nan,nan,3.139816141518e+01,1.528145738198e-01
nan,nan,nan,nan,3.150043555660e+01,1.519203503662e-01
nan,nan,nan,nan,3.160270969801e+01,1.510320070860e-01
nan,nan,nan,nan,3.170498383943e+01,1.501495176053e-01
nan,nan,nan,nan,3.180725798085e+01,1.492728478496e-01
nan,nan,nan,nan,3.190953212227e+01,1.484019757261e-01
nan,nan,nan,nan,3.201180626368e+01,1.475368684241e-01
nan,nan,nan,nan,3.211408040510e+01,1.466775129912e-01
nan,nan,nan,nan,3.221635454652e+01,1.458238897918e-01
nan,nan,nan,nan,3.231862868794e+01,1.449759213841e-01
nan,nan,nan,nan,3.242090282935e+01,1.441335641315e-01
nan,nan,nan,nan,3.252317697077e+01,1.432966812695e-01
nan,nan,nan,nan,3.262545111219e+01,1.424652176479e-01
nan,nan,nan,nan,3.272772525361e+01,1.416391887967e-01
nan,nan,nan,nan,3.282999939502e+01,1.408185432609e-01
nan,nan,nan,nan,3.293227353644e+01,1.400032690967e-01
nan,nan,nan,nan,3.303454767786e+01,1.391933599352e-01
nan,nan,nan,nan,3.313682181928e+01,1.383888232375e-01
nan,nan,nan,nan,3.323909596069e+01,1.375895278148e-01
nan,nan,nan,nan,3.334137010211e+01,1.367953844679e-01
nan,nan,nan,nan,3.344364424353e+01,1.360064206610e-01
nan,nan,nan,nan,3.354591838495e+01,1.352225696195e-01
nan,nan,nan,nan,3.364819252636e+01,1.344437124733e-01
nan,nan,nan,nan,3.375046666778e+01,1.336698178846e-01
nan,nan,nan,nan,3.385274080920e+01,1.329008040593e-01
nan,nan,nan,nan,3.395501495062e+01,1.321366002855e-01
nan,nan,nan,nan,3.405728909203e+01,1.313771381283e-01
nan,nan,nan,nan,3.415956323345e+01,1.306223995686e-01
nan,nan,nan,nan,3.426183737487e+01,1.298723453251e-01
nan,nan,nan,nan,3.436411151629e+01,1.291269176266e-01
nan,nan,nan,nan,3.446638565770e+01,1.283860918325e-01
nan,nan,nan,nan,3.456865979912e+01,1.276498359323e-01
nan,nan,nan,nan,3.467093394054e+01,1.269180605261e-01
nan,nan,nan,nan,3.477320808196e+01,1.261906593335e-01
nan,nan,nan,nan,3.487548222337e+01,1.254676520415e-01
