time_ps,raw_memory_ps2,fitted_memory_ps2
2.170000000000e-01,1.304279535981e+00,1.304385611405e+00
2.180000000000e-01,1.285907471876e+00,1.286011962303e+00
2.190000000000e-01,1.267743946924e+00,1.267847864026e+00
2.200000000000e-01,1.249788471713e+00,1.249891390499e+00
2.210000000000e-01,1.232039040202e+00,1.232140411484e+00
2.220000000000e-01,1.214492499299e+00,1.214592056998e+00
2.230000000000e-01,1.197144654292e+00,1.197243401697e+00
2.240000000000e-01,1.179994409405e+00,1.180092237678e+00
2.250000000000e-01,1.163039823392e+00,1.163136685899e+00
2.260000000000e-01,1.146279194426e+00,1.146374616851e+00
2.270000000000e-01,1.129709199151e+00,1.129803652539e+00
2.280000000000e-01,1.113328219452e+00,1.113421582487e+00
2.290000000000e-01,1.097133764866e+00,1.097226486101e+00
2.300000000000e-01,1.081124974138e+00,1.081216614213e+00
2.310000000000e-01,1.065299414305e+00,1.065390039607e+00
2.320000000000e-01,1.049655251422e+00,1.049744590852e+00
2.330000000000e-01,1.034189624919e+00,1.034278032061e+00
2.340000000000e-01,1.018900796324e+00,1.018988362151e+00
2.350000000000e-01,1.003787179830e+00,1.003873690698e+00
2.360000000000e-01,9.888468271761e-01,9.889318175310e-01
2.370000000000e-01,9.740760202076e-01,9.741604450573e-01
2.380000000000e-01,9.594743763633e-01,9.595575922447e-01
2.390000000000e-01,9.450392716388e-01,9.451210924305e-01
2.400000000000e-01,9.307673442651e-01,9.308488317315e-01
2.410000000000e-01,9.166586946391e-01,9.167392419809e-01
2.420000000000e-01,9.027112241928e-01,9.027906181598e-01
2.430000000000e-01,8.889224075488e-01,8.890009721190e-01
2.440000000000e-01,8.752907773654e-01,8.753684678215e-01
2.450000000000e-01,8.618144154202e-01,8.618914541553e-01
2.460000000000e-01,8.484924090844e-01,8.485681749788e-01
2.470000000000e-01,8.353219420743e-01,8.353963993991e-01
2.480000000000e-01,8.223003097150e-01,8.223737220527e-01
2.490000000000e-01,8.094253551622e-01,8.094981585788e-01
2.500000000000e-01,7.966959169735e-01,7.967683717517e-01
2.510000000000e-01,7.841115117991e-01,7.841833632479e-01
2.520000000000e-01,7.716708312427e-01,7.717419558357e-01
2.530000000000e-01,7.593726738332e-01,7.594425029735e-01
2.540000000000e-01,7.472138581335e-01,7.472830176386e-01
2.550000000000e-01,7.351937772637e-01,7.352614142698e-01
2.560000000000e-01,7.233087722678e-01,7.233753957424e-01
2.570000000000e-01,7.115566292804e-01,7.116232167643e-01
2.580000000000e-01,6.999378126162e-01,7.000040179573e-01
2.590000000000e-01,6.884518209448e-01,6.885166797698e-01
2.600000000000e-01,6.770953202410e-01,6.771593030283e-01
2.610000000000e-01,6.658667939759e-01,6.659299625864e-01
2.620000000000e-01,6.547646101002e-01,6.548270140284e-01
2.630000000000e-01,6.437871054781e-01,6.438491013505e-01
2.640000000000e-01,6.329335157335e-01,6.329952290796e-01
2.650000000000e-01,6.222038350328e-01,6.222642365659e-01
2.660000000000e-01,6.115945557437e-01,6.116545120520e-01
